dataset,n_features,n_samples,a,t,scoring,fraction,random_mean,f4rm_mean,paired_delta_mean,paired_delta_ci_half,wilcoxon_p,n_paired,significance
Steel Plates,33,1941,10,8,validation,0.75,0.8538988860325621,0.8744644387317909,0.020565552699228776,0.014829185184477027,0.016539762464228044,30,n.s.
Steel Plates,33,1941,10,8,validation,0.5,0.8450728363324763,0.8694087403598971,0.02433590402742073,0.017105763260528,0.011064339352762829,30,n.s.
Steel Plates,33,1941,10,8,validation,0.25,0.8191088260496999,0.8376178234790059,0.018508997429305906,0.02057324112408116,0.10712347527276779,30,n.s.
Steel Plates,33,1941,10,8,validation,0.1,0.77146529562982,0.7938303341902314,0.022365038560411308,0.024948550911560202,0.15343387616367954,30,n.s.
Steel Plates,33,1941,10,8,validation,0.05,0.7174807197943446,0.7394173093401886,0.02193658954584405,0.025810399493871126,0.08551480563051515,30,n.s.
Steel Plates,33,1941,10,8,fisher,1.0,0.8580976863753215,0.8751499571550985,0.0170522707797772,0.012425513812182,0.016491142087462798,30,n.s.
Steel Plates,33,1941,10,8,fisher,0.75,0.838560411311054,0.8548414738646102,0.016281062553556134,0.01230006095522192,0.01683910589992339,30,n.s.
Steel Plates,33,1941,10,8,fisher,0.5,0.8080548414738645,0.8292202227934875,0.021165381319622947,0.015403826426808518,0.016998142437005388,30,n.s.
Steel Plates,33,1941,10,8,fisher,0.25,0.743873179091688,0.7657240788346187,0.0218508997429306,0.01573939012098071,0.0064909569719320956,30,n.s.
Steel Plates,33,1941,10,8,fisher,0.1,0.6913453299057413,0.7033419023136246,0.011996572407883465,0.012648608923122617,0.16331662987404405,30,n.s.
Steel Plates,33,1941,10,8,fisher,0.05,0.6655526992287918,0.6656383890317051,8.568980291345415e-05,0.006452882510756345,0.828752511054488,30,n.s.
Segment,19,2310,11,8,validation,1.0,0.9321789321789322,0.9331168831168831,0.0009379509379509376,0.005679741793282434,0.8772577531310165,30,n.s.
Segment,19,2310,11,8,validation,0.75,0.9229437229437228,0.9276334776334775,0.004689754689754696,0.006856059242966136,0.18223109820470607,30,n.s.
Segment,19,2310,11,8,validation,0.5,0.9057720057720059,0.9168831168831169,0.011111111111111112,0.007929634355163084,0.0162602940532079,30,n.s.
Segment,19,2310,11,8,validation,0.25,0.8580086580086582,0.8632034632034631,0.0051948051948052,0.014074351608853255,0.537662689741202,30,n.s.
Segment,19,2310,11,8,validation,0.1,0.5990620490620491,0.6116161616161616,0.012554112554112542,0.02335517802058959,0.2451279034127597,30,n.s.
Segment,19,2310,11,8,validation,0.05,0.5990620490620491,0.6116161616161616,0.012554112554112542,0.02335517802058959,0.2451279034127597,30,n.s.
Segment,19,2310,11,8,fisher,1.0,0.9321789321789322,0.9331168831168831,0.0009379509379509376,0.005679741793282434,0.8772577531310165,30,n.s.
Segment,19,2310,11,8,fisher,0.75,0.9077200577200576,0.9093073593073593,0.001587301587301589,0.0127661158876411,0.7049892690001691,30,n.s.
Segment,19,2310,11,8,fisher,0.5,0.8713564213564216,0.8782106782106782,0.00685425685425685,0.016184842679669225,0.31347595086459956,30,n.s.
Segment,19,2310,11,8,fisher,0.25,0.7874458874458874,0.8005772005772006,0.013131313131313138,0.02618915962795241,0.3523351110167683,30,n.s.
Segment,19,2310,11,8,fisher,0.1,0.4453823953823954,0.4797258297258297,0.03434343434343434,0.044081871197784894,0.09365824197746607,30,n.s.
Segment,19,2310,11,8,fisher,0.05,0.4453823953823954,0.4797258297258297,0.03434343434343434,0.044081871197784894,0.09365824197746607,30,n.s.
Waveform,40,5000,12,8,validation,1.0,0.7745,0.7796,0.005100000000000005,0.005337032745705772,0.10700031590247164,30,n.s.
Waveform,40,5000,12,8,validation,0.75,0.7695333333333335,0.7707333333333332,0.001200000000000001,0.006744223009361426,0.767120343779376,30,n.s.
Waveform,40,5000,12,8,validation,0.5,0.7528333333333334,0.7480333333333334,-0.004800000000000004,0.007171946471071026,0.17774677940544248,30,n.s.
Waveform,40,5000,12,8,validation,0.25,0.7025999999999999,0.6957333333333333,-0.006866666666666658,0.008665951602684869,0.13004262999478142,30,n.s.
Waveform,40,5000,12,8,validation,0.1,0.6262666666666666,0.6194666666666667,-0.006800000000000006,0.009290397148260882,0.13029655399300405,30,n.s.
