method,n_runs,acc_mean,acc_std,train_s_mean,infer_us_mean,paired_delta_vs_random,paired_delta_ci_half,paired_delta_p
Random,5,0.9339999999999999,0.005958187643906466,0.05363307523075491,40.57014160789549,0.0,0.0,1.0
F4RM,5,0.9214,0.0026076809620810618,0.04985384994652122,40.557991596870124,-0.01259999999999999,0.006154524839498144,0.0625
F4RMS_K10,5,0.9410000000000001,0.0022360679774997916,0.4708092252025381,397.3722086288035,0.006999999999999918,0.005185672569686585,0.0625
