f4rm_system,baseline_system,criterion,n_comparable_datasets,n_f4rm_wins,n_baseline_wins,n_ties
F4RM-WiSARD-dense,LightGBM,best_acc_at_small_budget,0,0,0,0
F4RM-WiSARD-dense,LightGBM,best_acc_at_medium_budget,4,3,1,0
F4RM-WiSARD-dense,CatBoost,best_acc,21,3,18,0
F4RM-WiSARD-dense,CatBoost,best_mem_at_iso_acc,21,12,8,1
F4RM-WiSARD-dense,CatBoost,best_acc_per_log_mem,21,19,1,1
F4RM-WiSARD-dense,CatBoost,best_acc_at_small_budget,0,0,0,0
F4RM-WiSARD-dense,CatBoost,best_acc_at_medium_budget,14,5,9,0
F4RM-WiSARD-dense,MLP,best_acc,21,15,6,0
F4RM-WiSARD-dense,MLP,best_mem_at_iso_acc,21,16,5,0
F4RM-WiSARD-dense,MLP,best_acc_per_log_mem,21,15,6,0
F4RM-WiSARD-dense,MLP,best_acc_at_small_budget,20,15,5,0
F4RM-WiSARD-dense,MLP,best_acc_at_medium_budget,21,16,5,0
F4RM-WiSARD-dense,FT-Transformer,best_acc,21,18,3,0
F4RM-WiSARD-dense,FT-Transformer,best_mem_at_iso_acc,21,19,2,0
F4RM-WiSARD-dense,FT-Transformer,best_acc_per_log_mem,21,20,1,0
F4RM-WiSARD-dense,FT-Transformer,best_acc_at_small_budget,0,0,0,0
F4RM-WiSARD-dense,FT-Transformer,best_acc_at_medium_budget,21,19,2,0
F4RM-WiSARD-dense,BTHOWeN,best_acc,21,20,1,0
F4RM-WiSARD-dense,BTHOWeN,best_mem_at_iso_acc,21,4,17,0
F4RM-WiSARD-dense,BTHOWeN,best_acc_per_log_mem,21,0,21,0
F4RM-WiSARD-dense,BTHOWeN,best_acc_at_small_budget,21,11,10,0
F4RM-WiSARD-dense,BTHOWeN,best_acc_at_medium_budget,21,18,3,0
F4RM-WiSARD-dense,DWN,best_acc,21,18,3,0
F4RM-WiSARD-dense,DWN,best_mem_at_iso_acc,21,12,8,1
F4RM-WiSARD-dense,DWN,best_acc_per_log_mem,21,13,8,0
F4RM-WiSARD-dense,DWN,best_acc_at_small_budget,21,12,9,0
F4RM-WiSARD-dense,DWN,best_acc_at_medium_budget,21,13,8,0
F4RM-WiSARD-dense,ULEEN,best_acc,21,16,3,2
F4RM-WiSARD-dense,ULEEN,best_mem_at_iso_acc,21,3,18,0
F4RM-WiSARD-dense,ULEEN,best_acc_per_log_mem,21,3,18,0
F4RM-WiSARD-dense,ULEEN,best_acc_at_small_budget,21,6,15,0
F4RM-WiSARD-dense,ULEEN,best_acc_at_medium_budget,21,10,9,2
F4RMS,DT,best_acc,21,17,4,0
F4RMS,DT,best_mem_at_iso_acc,21,0,20,1
F4RMS,DT,best_acc_per_log_mem,21,3,18,0
F4RMS,DT,best_acc_at_small_budget,9,5,4,0
F4RMS,DT,best_acc_at_medium_budget,15,11,4,0
F4RMS,RF,best_acc,21,11,10,0
F4RMS,RF,best_mem_at_iso_acc,21,14,5,2
F4RMS,RF,best_acc_per_log_mem,21,14,6,1
F4RMS,RF,best_acc_at_small_budget,0,0,0,0
F4RMS,RF,best_acc_at_medium_budget,14,9,4,1
F4RMS,XGBoost,best_acc,21,7,14,0
F4RMS,XGBoost,best_mem_at_iso_acc,21,15,6,0
F4RMS,XGBoost,best_acc_per_log_mem,21,17,4,0
F4RMS,XGBoost,best_acc_at_small_budget,0,0,0,0
F4RMS,XGBoost,best_acc_at_medium_budget,4,1,2,1
F4RMS,LightGBM,best_acc,21,7,14,0
F4RMS,LightGBM,best_mem_at_iso_acc,21,14,7,0
F4RMS,LightGBM,best_acc_per_log_mem,21,17,4,0
F4RMS,LightGBM,best_acc_at_small_budget,0,0,0,0
F4RMS,LightGBM,best_acc_at_medium_budget,4,2,2,0
F4RMS,CatBoost,best_acc,21,2,18,1
F4RMS,CatBoost,best_mem_at_iso_acc,21,8,12,1
F4RMS,CatBoost,best_acc_per_log_mem,21,12,9,0
F4RMS,CatBoost,best_acc_at_small_budget,0,0,0,0
F4RMS,CatBoost,best_acc_at_medium_budget,11,2,9,0
F4RMS,MLP,best_acc,21,15,5,1
F4RMS,MLP,best_mem_at_iso_acc,21,15,6,0
F4RMS,MLP,best_acc_per_log_mem,21,7,14,0
F4RMS,MLP,best_acc_at_small_budget,9,7,1,1
F4RMS,MLP,best_acc_at_medium_budget,15,13,1,1
F4RMS,FT-Transformer,best_acc,21,17,3,1
F4RMS,FT-Transformer,best_mem_at_iso_acc,21,14,7,0
F4RMS,FT-Transformer,best_acc_per_log_mem,21,16,5,0
F4RMS,FT-Transformer,best_acc_at_small_budget,0,0,0,0
F4RMS,FT-Transformer,best_acc_at_medium_budget,15,14,0,1
F4RMS,BTHOWeN,best_acc,21,20,1,0
F4RMS,BTHOWeN,best_mem_at_iso_acc,21,1,20,0
F4RMS,BTHOWeN,best_acc_per_log_mem,21,0,21,0
F4RMS,BTHOWeN,best_acc_at_small_budget,9,6,2,1
F4RMS,BTHOWeN,best_acc_at_medium_budget,15,13,1,1
F4RMS,DWN,best_acc,21,18,2,1
F4RMS,DWN,best_mem_at_iso_acc,21,9,12,0
F4RMS,DWN,best_acc_per_log_mem,21,7,14,0
F4RMS,DWN,best_acc_at_small_budget,9,8,1,0
F4RMS,DWN,best_acc_at_medium_budget,15,11,4,0
F4RMS,ULEEN,best_acc,21,17,4,0
F4RMS,ULEEN,best_mem_at_iso_acc,21,1,19,1
F4RMS,ULEEN,best_acc_per_log_mem,21,0,21,0
F4RMS,ULEEN,best_acc_at_small_budget,9,5,4,0
F4RMS,ULEEN,best_acc_at_medium_budget,15,6,8,1
Random-WiSARD-cuckoo,DT,best_acc,21,17,3,1
Random-WiSARD-cuckoo,DT,best_mem_at_iso_acc,21,16,5,0
Random-WiSARD-cuckoo,DT,best_acc_per_log_mem,21,17,3,1
Random-WiSARD-cuckoo,DT,best_acc_at_small_budget,20,12,7,1
Random-WiSARD-cuckoo,DT,best_acc_at_medium_budget,21,17,3,1
Random-WiSARD-cuckoo,RF,best_acc,21,7,13,1
Random-WiSARD-cuckoo,RF,best_mem_at_iso_acc,21,20,1,0
Random-WiSARD-cuckoo,RF,best_acc_per_log_mem,21,21,0,0
Random-WiSARD-cuckoo,RF,best_acc_at_small_budget,0,0,0,0
Random-WiSARD-cuckoo,RF,best_acc_at_medium_budget,14,10,2,2
Random-WiSARD-cuckoo,XGBoost,best_acc,21,6,15,0
Random-WiSARD-cuckoo,XGBoost,best_mem_at_iso_acc,21,20,1,0
Random-WiSARD-cuckoo,XGBoost,best_acc_per_log_mem,21,21,0,0
Random-WiSARD-cuckoo,XGBoost,best_acc_at_small_budget,0,0,0,0
Random-WiSARD-cuckoo,XGBoost,best_acc_at_medium_budget,4,2,2,0
Random-WiSARD-cuckoo,LightGBM,best_acc,21,5,15,1
Random-WiSARD-cuckoo,LightGBM,best_mem_at_iso_acc,21,19,1,1
Random-WiSARD-cuckoo,LightGBM,best_acc_per_log_mem,21,21,0,0
Random-WiSARD-cuckoo,LightGBM,best_acc_at_small_budget,0,0,0,0
Random-WiSARD-cuckoo,LightGBM,best_acc_at_medium_budget,4,2,1,1
Random-WiSARD-cuckoo,CatBoost,best_acc,21,3,18,0
Random-WiSARD-cuckoo,CatBoost,best_mem_at_iso_acc,21,18,3,0
Random-WiSARD-cuckoo,CatBoost,best_acc_per_log_mem,21,21,0,0
Random-WiSARD-cuckoo,CatBoost,best_acc_at_small_budget,0,0,0,0
Random-WiSARD-cuckoo,CatBoost,best_acc_at_medium_budget,14,6,8,0
Random-WiSARD-cuckoo,MLP,best_acc,21,15,6,0
Random-WiSARD-cuckoo,MLP,best_mem_at_iso_acc,21,17,4,0
Random-WiSARD-cuckoo,MLP,best_acc_per_log_mem,21,18,3,0
Random-WiSARD-cuckoo,MLP,best_acc_at_small_budget,20,16,4,0
Random-WiSARD-cuckoo,MLP,best_acc_at_medium_budget,21,18,2,1
Random-WiSARD-cuckoo,FT-Transformer,best_acc,21,18,3,0
Random-WiSARD-cuckoo,FT-Transformer,best_mem_at_iso_acc,21,21,0,0
Random-WiSARD-cuckoo,FT-Transformer,best_acc_per_log_mem,21,21,0,0
Random-WiSARD-cuckoo,FT-Transformer,best_acc_at_small_budget,0,0,0,0
Random-WiSARD-cuckoo,FT-Transformer,best_acc_at_medium_budget,21,20,0,1
Random-WiSARD-cuckoo,BTHOWeN,best_acc,21,20,1,0
Random-WiSARD-cuckoo,BTHOWeN,best_mem_at_iso_acc,21,14,6,1
Random-WiSARD-cuckoo,BTHOWeN,best_acc_per_log_mem,21,7,14,0
Random-WiSARD-cuckoo,BTHOWeN,best_acc_at_small_budget,21,16,5,0
Random-WiSARD-cuckoo,BTHOWeN,best_acc_at_medium_budget,21,20,1,0
Random-WiSARD-cuckoo,DWN,best_acc,21,17,3,1
Random-WiSARD-cuckoo,DWN,best_mem_at_iso_acc,21,16,4,1
Random-WiSARD-cuckoo,DWN,best_acc_per_log_mem,21,19,1,1
Random-WiSARD-cuckoo,DWN,best_acc_at_small_budget,21,18,3,0
Random-WiSARD-cuckoo,DWN,best_acc_at_medium_budget,21,14,6,1
Random-WiSARD-cuckoo,ULEEN,best_acc,21,16,3,2
Random-WiSARD-cuckoo,ULEEN,best_mem_at_iso_acc,21,11,10,0
Random-WiSARD-cuckoo,ULEEN,best_acc_per_log_mem,21,11,10,0
Random-WiSARD-cuckoo,ULEEN,best_acc_at_small_budget,21,10,10,1
Random-WiSARD-cuckoo,ULEEN,best_acc_at_medium_budget,21,14,3,4
