f4rm_system,baseline_system,dataset,classification,f4rm_n_frontier_points,baseline_n_frontier_points,f4rm_acc_min,f4rm_acc_max,f4rm_mem_min,f4rm_mem_max,baseline_acc_min,baseline_acc_max,baseline_mem_min,baseline_mem_max,n_joint_envelope_points,n_joint_envelope_from_f4rm,n_joint_envelope_from_baseline
F4RM-WiSARD-dense,LightGBM,Balance Scale,mixed,12,4,0.2304,0.9024000000000001,237.0,21644.0,0.9008,0.9040000000000001,304656.2,306372.2,15,12,3
F4RM-WiSARD-dense,LightGBM,Banknote,f4rm_strict_dominates,17,9,0.5941818181818183,1.0,153.0,6736.0,0.9767272727272728,0.9978181818181818,115313.0,131711.8,17,17,0
F4RM-WiSARD-dense,LightGBM,Breast Cancer,mixed,8,15,0.8649122807017544,0.9631578947368421,1157.0,88474.0,0.9578947368421054,0.9719298245614034,75446.6,549346.4,17,8,9
F4RM-WiSARD-dense,LightGBM,EEG Eye State,mixed,37,8,0.5510680907877169,0.9427236315086782,560.0,3595480.0,0.8681575433911882,0.9601691143747219,178689.66666666666,14623904.666666666,30,22,8
F4RM-WiSARD-dense,LightGBM,Ecoli,f4rm_strict_dominates,10,12,0.7588235294117647,0.8705882352941176,533.0,57413.0,0.8235294117647058,0.8529411764705882,448657.2,3109753.2,10,10,0
F4RM-WiSARD-dense,LightGBM,Glass,mixed,11,18,0.5813953488372092,0.7534883720930232,835.0,33256.0,0.7023255813953488,0.7767441860465116,335489.0,2111415.8,20,11,9
F4RM-WiSARD-dense,LightGBM,Haberman,f4rm_strict_dominates,6,3,0.7419354838709677,0.7483870967741936,120.0,1607.0,0.7387096774193548,0.7387096774193548,90323.8,90323.8,6,6,0
F4RM-WiSARD-dense,LightGBM,Ionosphere,mixed,12,15,0.352112676056338,0.9492957746478872,1276.0,350384.0,0.9295774647887324,0.9492957746478872,79871.0,113756.0,14,11,3
F4RM-WiSARD-dense,LightGBM,Iris,f4rm_strict_dominates,7,3,0.8666666666666668,0.9666666666666668,118.0,7751.0,0.9533333333333334,0.9533333333333334,128407.6,128407.6,7,7,0
F4RM-WiSARD-dense,LightGBM,Letter Recognition,mixed,24,6,0.09419999999999999,0.95335,7939.0,4683767.0,0.927,0.9703333333333334,4538424.0,48265498.0,27,23,4
F4RM-WiSARD-dense,LightGBM,Magic Gamma,mixed,29,6,0.64863301787592,0.8691903259726603,400.0,2226099.0,0.8760953382404487,0.8845075359270943,176887.66666666666,3462928.3333333335,24,18,6
F4RM-WiSARD-dense,LightGBM,Pendigits,mixed,18,5,0.3292405638926785,0.9899045020463847,2765.0,1501999.0,0.9804456571168713,0.9915112930119752,1692481.0,14978396.0,21,18,3
F4RM-WiSARD-dense,LightGBM,Pima Diabetes,mixed,13,3,0.6493506493506493,0.7675324675324675,320.0,44577.0,0.7844155844155845,0.7883116883116883,158042.0,162131.6,16,13,3
F4RM-WiSARD-dense,LightGBM,SatImage,mixed,28,7,0.3097978227060653,0.9122861586314153,4079.0,2716875.0,0.9020217729393468,0.9297563504406429,1012520.0,10667336.333333334,31,25,6
F4RM-WiSARD-dense,LightGBM,Seeds,mixed,8,12,0.8571428571428571,0.9380952380952381,306.0,10320.0,0.9285714285714285,0.9476190476190476,157467.2,216321.6,14,8,6
F4RM-WiSARD-dense,LightGBM,Segment,mixed,20,7,0.5290043290043289,0.9662337662337663,1946.0,109331.0,0.9675324675324676,0.987012987012987,693810.6666666666,3841719.0,27,20,7
F4RM-WiSARD-dense,LightGBM,Steel Plates,mixed,23,1,0.6544987146529563,0.9922879177377892,1111.0,1344534.0,1.0,1.0,94387.2,94387.2,17,16,1
F4RM-WiSARD-dense,LightGBM,Vehicle,mixed,14,6,0.4105882352941176,0.7494117647058823,1321.0,37521.0,0.7341176470588235,0.7647058823529411,544402.2,762073.8,19,14,5
F4RM-WiSARD-dense,LightGBM,Waveform,mixed,18,5,0.338,0.8486,2399.0,4580928.0,0.8493333333333334,0.858,524875.6666666666,2163033.3333333335,18,13,5
F4RM-WiSARD-dense,LightGBM,Wine,f4rm_strict_dominates,4,6,0.9166666666666666,0.9888888888888889,648.0,2795.0,0.9555555555555555,0.9666666666666666,140998.6,151505.6,4,4,0
F4RM-WiSARD-dense,LightGBM,Yeast,mixed,15,1,0.31851851851851853,0.6107744107744107,1161.0,301268.0,0.6215488215488215,0.6215488215488215,1283755.4,1283755.4,16,15,1
F4RM-WiSARD-dense,CatBoost,Balance Scale,mixed,12,1,0.2304,0.9024000000000001,237.0,21644.0,0.9173333333333334,0.9173333333333334,64560.0,64560.0,13,12,1
F4RM-WiSARD-dense,CatBoost,Banknote,f4rm_strict_dominates,17,2,0.5941818181818183,1.0,153.0,6736.0,0.9963636363636365,0.9975757575757576,40288.0,172645.33333333334,17,17,0
F4RM-WiSARD-dense,CatBoost,Breast Cancer,mixed,8,1,0.8649122807017544,0.9631578947368421,1157.0,88474.0,0.9754385964912281,0.9754385964912281,40836.8,40836.8,7,6,1
F4RM-WiSARD-dense,CatBoost,EEG Eye State,mixed,37,3,0.5510680907877169,0.9427236315086782,560.0,3595480.0,0.8093012906097018,0.9561637739207832,40874.666666666664,2112482.6666666665,25,22,3
F4RM-WiSARD-dense,CatBoost,Ecoli,mixed,10,4,0.7588235294117647,0.8705882352941176,533.0,57413.0,0.8705882352941178,0.9117647058823529,128564.8,1741648.0,14,10,4
F4RM-WiSARD-dense,CatBoost,Glass,mixed,11,2,0.5813953488372092,0.7534883720930232,835.0,33256.0,0.7751937984496123,0.8093023255813954,104328.0,104486.4,13,11,2
F4RM-WiSARD-dense,CatBoost,Haberman,mixed,6,1,0.7419354838709677,0.7483870967741936,120.0,1607.0,0.7548387096774193,0.7548387096774193,39131.2,39131.2,7,6,1
F4RM-WiSARD-dense,CatBoost,Ionosphere,mixed,12,1,0.352112676056338,0.9492957746478872,1276.0,350384.0,0.9530516431924884,0.9530516431924884,41229.333333333336,41229.333333333336,11,10,1
F4RM-WiSARD-dense,CatBoost,Iris,f4rm_strict_dominates,7,2,0.8666666666666668,0.9666666666666668,118.0,7751.0,0.9533333333333334,0.9555555555555556,64795.2,65120.0,7,7,0
F4RM-WiSARD-dense,CatBoost,Letter Recognition,mixed,24,3,0.09419999999999999,0.95335,7939.0,4683767.0,0.8528333333333333,0.9645833333333332,360672.0,27700168.0,25,24,1
F4RM-WiSARD-dense,CatBoost,Magic Gamma,mixed,29,3,0.64863301787592,0.8691903259726603,400.0,2226099.0,0.8675955134945671,0.8864353312302838,40770.666666666664,2113229.3333333335,15,12,3
F4RM-WiSARD-dense,CatBoost,Pendigits,mixed,18,3,0.3292405638926785,0.9899045020463847,2765.0,1501999.0,0.9777171441564348,0.9910565408519023,156533.33333333334,11329128.0,20,18,2
F4RM-WiSARD-dense,CatBoost,Pima Diabetes,mixed,13,1,0.6493506493506493,0.7675324675324675,320.0,44577.0,0.7662337662337663,0.7662337662337663,40357.333333333336,40357.333333333336,14,13,1
F4RM-WiSARD-dense,CatBoost,SatImage,mixed,28,3,0.3097978227060653,0.9122861586314153,4079.0,2716875.0,0.8939865215137376,0.9212026956972524,105736.0,7233554.666666667,24,21,3
F4RM-WiSARD-dense,CatBoost,Seeds,mixed,8,4,0.8571428571428571,0.9380952380952381,306.0,10320.0,0.9238095238095237,0.9523809523809524,66094.4,4085610.6666666665,10,8,2
F4RM-WiSARD-dense,CatBoost,Segment,mixed,20,3,0.5290043290043289,0.9662337662337663,1946.0,109331.0,0.9704184704184704,0.9812409812409811,118170.66666666667,8257994.666666667,23,20,3
F4RM-WiSARD-dense,CatBoost,Steel Plates,mixed,23,1,0.6544987146529563,0.9922879177377892,1111.0,1344534.0,1.0,1.0,40440.0,40440.0,14,13,1
F4RM-WiSARD-dense,CatBoost,Vehicle,mixed,14,2,0.4105882352941176,0.7494117647058823,1321.0,37521.0,0.7411764705882353,0.7647058823529411,79354.66666666667,366501.3333333333,15,14,1
F4RM-WiSARD-dense,CatBoost,Waveform,mixed,18,2,0.338,0.8486,2399.0,4580928.0,0.8556666666666667,0.8613333333333334,67594.66666666667,306344.0,11,9,2
F4RM-WiSARD-dense,CatBoost,Wine,mixed,4,2,0.9166666666666666,0.9888888888888889,648.0,2795.0,0.9722222222222221,0.9907407407407408,66233.6,66426.66666666667,5,4,1
F4RM-WiSARD-dense,CatBoost,Yeast,mixed,15,1,0.31851851851851853,0.6107744107744107,1161.0,301268.0,0.6464646464646465,0.6464646464646465,155178.66666666666,155178.66666666666,14,13,1
F4RM-WiSARD-dense,MLP,Balance Scale,mixed,12,22,0.2304,0.9024000000000001,237.0,21644.0,0.7712,0.9103999999999999,1036.0,700940.0,22,12,10
F4RM-WiSARD-dense,MLP,Banknote,f4rm_strict_dominates,17,14,0.5941818181818183,1.0,153.0,6736.0,0.7258181818181818,0.9905454545454546,772.0,169988.0,17,17,0
F4RM-WiSARD-dense,MLP,Breast Cancer,f4rm_strict_dominates,8,8,0.8649122807017544,0.9631578947368421,1157.0,88474.0,0.9175438596491228,0.9491228070175438,4100.0,753668.0,8,8,0
F4RM-WiSARD-dense,MLP,EEG Eye State,f4rm_strict_dominates,37,2,0.5510680907877169,0.9427236315086782,560.0,3595480.0,0.5511793502447707,0.5511793502447707,4100.0,4100.0,37,37,0
F4RM-WiSARD-dense,MLP,Ecoli,f4rm_strict_dominates,10,12,0.7588235294117647,0.8705882352941176,533.0,57413.0,0.3176470588235294,0.8029411764705883,2080.0,708384.0,10,10,0
F4RM-WiSARD-dense,MLP,Glass,f4rm_strict_dominates,11,20,0.5813953488372092,0.7534883720930232,835.0,33256.0,0.25116279069767444,0.46976744186046515,2072.0,711960.0,11,11,0
F4RM-WiSARD-dense,MLP,Haberman,f4rm_strict_dominates,6,16,0.7419354838709677,0.7483870967741936,120.0,1607.0,0.632258064516129,0.7419354838709677,644.0,9476.0,6,6,0
F4RM-WiSARD-dense,MLP,Ionosphere,f4rm_strict_dominates,12,18,0.352112676056338,0.9492957746478872,1276.0,350384.0,0.6676056338028169,0.9408450704225352,4612.0,761860.0,12,12,0
F4RM-WiSARD-dense,MLP,Iris,f4rm_strict_dominates,7,22,0.8666666666666668,0.9666666666666668,118.0,7751.0,0.3466666666666667,0.8800000000000001,1036.0,700940.0,7,7,0
F4RM-WiSARD-dense,MLP,Letter Recognition,mixed,24,4,0.09419999999999999,0.95335,7939.0,4683767.0,0.81,0.9501666666666667,11112.0,705128.0,9,5,4
F4RM-WiSARD-dense,MLP,Magic Gamma,mixed,29,4,0.64863301787592,0.8691903259726603,400.0,2226099.0,0.8533999298983526,0.8740799158780231,3076.0,679940.0,8,4,4
F4RM-WiSARD-dense,MLP,Pendigits,mixed,18,12,0.3292405638926785,0.9899045020463847,2765.0,1501999.0,0.9738972260118235,0.9919054115507049,3496.0,727336.0,13,1,12
F4RM-WiSARD-dense,MLP,Pima Diabetes,mixed,13,14,0.6493506493506493,0.7675324675324675,320.0,44577.0,0.6428571428571429,0.774025974025974,1284.0,708612.0,15,13,2
F4RM-WiSARD-dense,MLP,SatImage,mixed,28,12,0.3097978227060653,0.9122861586314153,4079.0,2716875.0,0.8300155520995334,0.8953343701399689,5528.0,767256.0,28,22,6
F4RM-WiSARD-dense,MLP,Seeds,f4rm_strict_dominates,8,20,0.8571428571428571,0.9380952380952381,306.0,10320.0,0.5142857142857142,0.9238095238095237,1420.0,707084.0,8,8,0
F4RM-WiSARD-dense,MLP,Segment,mixed,20,12,0.5290043290043289,0.9662337662337663,1946.0,109331.0,0.8523809523809524,0.9584415584415584,3484.0,186908.0,19,17,2
F4RM-WiSARD-dense,MLP,Steel Plates,mixed,23,8,0.6544987146529563,0.9922879177377892,1111.0,1344534.0,0.9367609254498716,0.9994858611825193,4484.0,50692.0,13,5,8
F4RM-WiSARD-dense,MLP,Vehicle,f4rm_strict_dominates,14,12,0.4105882352941176,0.7494117647058823,1321.0,37521.0,0.40705882352941175,0.7047058823529412,2960.0,729872.0,14,14,0
F4RM-WiSARD-dense,MLP,Waveform,mixed,18,4,0.338,0.8486,2399.0,4580928.0,0.8635999999999999,0.865,5644.0,774668.0,9,5,4
F4RM-WiSARD-dense,MLP,Wine,f4rm_strict_dominates,4,10,0.9166666666666666,0.9888888888888889,648.0,2795.0,0.5555555555555556,0.9333333333333333,2188.0,179724.0,4,4,0
F4RM-WiSARD-dense,MLP,Yeast,f4rm_strict_dominates,15,10,0.31851851851851853,0.6107744107744107,1161.0,301268.0,0.30505050505050507,0.6,2472.0,710952.0,15,15,0
F4RM-WiSARD-dense,FT-Transformer,Balance Scale,mixed,12,2,0.2304,0.9024000000000001,237.0,21644.0,0.8506666666666667,0.9066666666666667,69548.0,270684.0,13,12,1
F4RM-WiSARD-dense,FT-Transformer,Banknote,f4rm_strict_dominates,17,3,0.5941818181818183,1.0,153.0,6736.0,0.9672727272727273,0.9987878787878787,69416.0,404224.0,17,17,0
F4RM-WiSARD-dense,FT-Transformer,Breast Cancer,f4rm_strict_dominates,8,2,0.8649122807017544,0.9631578947368421,1157.0,88474.0,0.8391812865497076,0.9415204678362573,76072.0,283736.0,8,8,0
F4RM-WiSARD-dense,FT-Transformer,EEG Eye State,f4rm_strict_dominates,37,2,0.5510680907877169,0.9427236315086782,560.0,3595480.0,0.5511793502447707,0.5512906097018245,71976.0,409344.0,37,37,0
F4RM-WiSARD-dense,FT-Transformer,Ecoli,f4rm_strict_dominates,10,3,0.7588235294117647,0.8705882352941176,533.0,57413.0,0.4264705882352941,0.573529411764706,70976.0,407320.0,10,10,0
F4RM-WiSARD-dense,FT-Transformer,Glass,f4rm_strict_dominates,11,4,0.5813953488372092,0.7534883720930232,835.0,33256.0,0.3488372093023256,0.3953488372093023,71224.0,407824.0,11,11,0
F4RM-WiSARD-dense,FT-Transformer,Haberman,f4rm_strict_dominates,6,3,0.7419354838709677,0.7483870967741936,120.0,1607.0,0.7419354838709676,0.7473118279569894,69160.0,403712.0,6,6,0
F4RM-WiSARD-dense,FT-Transformer,Ionosphere,f4rm_strict_dominates,12,4,0.352112676056338,0.9492957746478872,1276.0,350384.0,0.647887323943662,0.7887323943661971,77096.0,419584.0,12,12,0
F4RM-WiSARD-dense,FT-Transformer,Iris,f4rm_strict_dominates,7,2,0.8666666666666668,0.9666666666666668,118.0,7751.0,0.7888888888888889,0.9,69548.0,270684.0,7,7,0
F4RM-WiSARD-dense,FT-Transformer,Letter Recognition,mixed,24,3,0.09419999999999999,0.95335,7939.0,4683767.0,0.7179166666666666,0.8930833333333332,75656.0,416608.0,25,24,1
F4RM-WiSARD-dense,FT-Transformer,Magic Gamma,mixed,29,2,0.64863301787592,0.8691903259726603,400.0,2226099.0,0.853925692253768,0.8643533123028391,70952.0,273496.0,19,17,2
F4RM-WiSARD-dense,FT-Transformer,Pendigits,f4rm_strict_dominates,18,3,0.3292405638926785,0.9899045020463847,2765.0,1501999.0,0.9410338032438986,0.9869637714112476,73544.0,412448.0,18,18,0
F4RM-WiSARD-dense,FT-Transformer,Pima Diabetes,f4rm_strict_dominates,13,3,0.6493506493506493,0.7675324675324675,320.0,44577.0,0.6666666666666666,0.7575757575757577,70440.0,406272.0,13,13,0
F4RM-WiSARD-dense,FT-Transformer,SatImage,f4rm_strict_dominates,28,2,0.3097978227060653,0.9122861586314153,4079.0,2716875.0,0.8499222395023328,0.8709175738724729,78136.0,287848.0,28,28,0
F4RM-WiSARD-dense,FT-Transformer,Seeds,f4rm_strict_dominates,8,2,0.8571428571428571,0.9380952380952381,306.0,10320.0,0.6587301587301587,0.9047619047619048,70316.0,272220.0,8,8,0
F4RM-WiSARD-dense,FT-Transformer,Segment,f4rm_strict_dominates,20,3,0.5290043290043289,0.9662337662337663,1946.0,109331.0,0.8225108225108224,0.9235209235209235,73916.0,413204.0,20,20,0
F4RM-WiSARD-dense,FT-Transformer,Steel Plates,mixed,23,2,0.6544987146529563,0.9922879177377892,1111.0,1344534.0,0.8414738646101113,1.0,76840.0,285272.0,20,19,1
F4RM-WiSARD-dense,FT-Transformer,Vehicle,f4rm_strict_dominates,14,3,0.4105882352941176,0.7494117647058823,1321.0,37521.0,0.38823529411764707,0.596078431372549,73264.0,411912.0,14,14,0
F4RM-WiSARD-dense,FT-Transformer,Waveform,mixed,18,3,0.338,0.8486,2399.0,4580928.0,0.8413333333333334,0.8673333333333333,78764.0,422916.0,13,10,3
F4RM-WiSARD-dense,FT-Transformer,Wine,f4rm_strict_dominates,4,3,0.9166666666666666,0.9888888888888889,648.0,2795.0,0.4259259259259259,0.9074074074074074,71852.0,409092.0,4,4,0
F4RM-WiSARD-dense,FT-Transformer,Yeast,f4rm_strict_dominates,15,2,0.31851851851851853,0.6107744107744107,1161.0,301268.0,0.3041526374859708,0.4927048260381594,71496.0,274552.0,15,15,0
F4RM-WiSARD-dense,BTHOWeN,Balance Scale,mixed,12,4,0.2304,0.9024000000000001,237.0,21644.0,0.6896,0.8496,48.0,1152.0,10,6,4
F4RM-WiSARD-dense,BTHOWeN,Banknote,mixed,17,6,0.5941818181818183,1.0,153.0,6736.0,0.8880000000000001,0.992,32.0,1024.0,10,4,6
F4RM-WiSARD-dense,BTHOWeN,Breast Cancer,mixed,8,5,0.8649122807017544,0.9631578947368421,1157.0,88474.0,0.6263157894736843,0.9596491228070174,128.0,7168.0,8,3,5
F4RM-WiSARD-dense,BTHOWeN,EEG Eye State,mixed,37,5,0.5510680907877169,0.9427236315086782,560.0,3595480.0,0.5560747663551402,0.580173564753004,64.0,640.0,34,29,5
F4RM-WiSARD-dense,BTHOWeN,Ecoli,mixed,10,6,0.7588235294117647,0.8705882352941176,533.0,57413.0,0.5470588235294118,0.8411764705882353,128.0,7168.0,9,4,5
F4RM-WiSARD-dense,BTHOWeN,Glass,mixed,11,4,0.5813953488372092,0.7534883720930232,835.0,33256.0,0.4511627906976744,0.6744186046511629,96.0,672.0,12,8,4
F4RM-WiSARD-dense,BTHOWeN,Haberman,baseline_strict_dominates,6,2,0.7419354838709677,0.7483870967741936,120.0,1607.0,0.7483870967741936,0.7516129032258064,32.0,64.0,2,0,2
F4RM-WiSARD-dense,BTHOWeN,Ionosphere,mixed,12,5,0.352112676056338,0.9492957746478872,1276.0,350384.0,0.6338028169014084,0.9183098591549296,128.0,3072.0,9,4,5
F4RM-WiSARD-dense,BTHOWeN,Iris,mixed,7,5,0.8666666666666668,0.9666666666666668,118.0,7751.0,0.8666666666666668,0.96,48.0,288.0,6,2,4
F4RM-WiSARD-dense,BTHOWeN,Letter Recognition,mixed,24,10,0.09419999999999999,0.95335,7939.0,4683767.0,0.24609999999999999,0.900925,832.0,79872.0,21,11,10
F4RM-WiSARD-dense,BTHOWeN,Magic Gamma,mixed,29,6,0.64863301787592,0.8691903259726603,400.0,2226099.0,0.6698738170347003,0.7874868559411146,64.0,7680.0,26,20,6
F4RM-WiSARD-dense,BTHOWeN,Pendigits,mixed,18,8,0.3292405638926785,0.9899045020463847,2765.0,1501999.0,0.40545702592087307,0.9757162346521145,320.0,20480.0,18,10,8
F4RM-WiSARD-dense,BTHOWeN,Pima Diabetes,mixed,13,7,0.6493506493506493,0.7675324675324675,320.0,44577.0,0.6441558441558441,0.7337662337662337,32.0,6144.0,11,4,7
F4RM-WiSARD-dense,BTHOWeN,SatImage,mixed,28,9,0.3097978227060653,0.9122861586314153,4079.0,2716875.0,0.6782270606531882,0.8796267496111975,384.0,26112.0,24,15,9
F4RM-WiSARD-dense,BTHOWeN,Seeds,mixed,8,6,0.8571428571428571,0.9380952380952381,306.0,10320.0,0.6619047619047619,0.9095238095238095,48.0,2112.0,8,3,5
F4RM-WiSARD-dense,BTHOWeN,Segment,mixed,20,7,0.5290043290043289,0.9662337662337663,1946.0,109331.0,0.7943722943722944,0.9415584415584416,336.0,12544.0,14,7,7
F4RM-WiSARD-dense,BTHOWeN,Steel Plates,mixed,23,8,0.6544987146529563,0.9922879177377892,1111.0,1344534.0,0.6735218508997429,0.8910025706940875,128.0,7680.0,21,13,8
F4RM-WiSARD-dense,BTHOWeN,Vehicle,mixed,14,9,0.4105882352941176,0.7494117647058823,1321.0,37521.0,0.3870588235294118,0.6905882352941177,128.0,4608.0,16,7,9
F4RM-WiSARD-dense,BTHOWeN,Waveform,mixed,18,7,0.338,0.8486,2399.0,4580928.0,0.3386,0.8154,240.0,11520.0,15,8,7
F4RM-WiSARD-dense,BTHOWeN,Wine,mixed,4,8,0.9166666666666666,0.9888888888888889,648.0,2795.0,0.4722222222222222,0.9666666666666666,96.0,2496.0,8,2,6
F4RM-WiSARD-dense,BTHOWeN,Yeast,mixed,15,7,0.31851851851851853,0.6107744107744107,1161.0,301268.0,0.32861952861952864,0.5252525252525253,160.0,30720.0,14,9,5
F4RM-WiSARD-dense,DWN,Balance Scale,f4rm_strict_dominates,12,3,0.2304,0.9024000000000001,237.0,21644.0,0.7679999999999999,0.8213333333333334,5382.0,47936.0,12,12,0
F4RM-WiSARD-dense,DWN,Banknote,f4rm_strict_dominates,17,3,0.5941818181818183,1.0,153.0,6736.0,0.9466666666666667,0.9927272727272727,5400.0,48000.0,17,17,0
F4RM-WiSARD-dense,DWN,Breast Cancer,mixed,8,2,0.8649122807017544,0.9631578947368421,1157.0,88474.0,0.935672514619883,0.9649122807017543,5400.0,24000.0,6,5,1
F4RM-WiSARD-dense,DWN,EEG Eye State,mixed,37,4,0.5510680907877169,0.9427236315086782,560.0,3595480.0,0.7997329773030707,0.8854027592345349,5400.0,96000.0,24,20,4
F4RM-WiSARD-dense,DWN,Ecoli,mixed,10,3,0.7588235294117647,0.8705882352941176,533.0,57413.0,0.8186274509803922,0.8676470588235294,5328.0,47872.0,11,10,1
F4RM-WiSARD-dense,DWN,Glass,f4rm_strict_dominates,11,3,0.5813953488372092,0.7534883720930232,835.0,33256.0,0.6201550387596899,0.7286821705426357,5328.0,95872.0,11,11,0
F4RM-WiSARD-dense,DWN,Haberman,f4rm_strict_dominates,6,1,0.7419354838709677,0.7483870967741936,120.0,1607.0,0.6989247311827956,0.6989247311827956,5400.0,5400.0,6,6,0
F4RM-WiSARD-dense,DWN,Ionosphere,mixed,12,2,0.352112676056338,0.9492957746478872,1276.0,350384.0,0.9014084507042254,0.9107981220657276,5400.0,48000.0,13,12,1
F4RM-WiSARD-dense,DWN,Iris,f4rm_strict_dominates,7,1,0.8666666666666668,0.9666666666666668,118.0,7751.0,0.9555555555555556,0.9555555555555556,5382.0,5382.0,7,7,0
F4RM-WiSARD-dense,DWN,Letter Recognition,mixed,24,4,0.09419999999999999,0.95335,7939.0,4683767.0,0.47625,0.9398333333333332,5004.0,95616.0,11,7,4
F4RM-WiSARD-dense,DWN,Magic Gamma,mixed,29,3,0.64863301787592,0.8691903259726603,400.0,2226099.0,0.806869961444094,0.8214160532772521,5400.0,96000.0,24,23,1
F4RM-WiSARD-dense,DWN,Pendigits,mixed,18,4,0.3292405638926785,0.9899045020463847,2765.0,1501999.0,0.9173866909201153,0.9886311959981811,5400.0,96000.0,12,8,4
F4RM-WiSARD-dense,DWN,Pima Diabetes,f4rm_strict_dominates,13,2,0.6493506493506493,0.7675324675324675,320.0,44577.0,0.6969696969696969,0.7164502164502164,5400.0,24000.0,13,13,0
F4RM-WiSARD-dense,DWN,SatImage,mixed,28,3,0.3097978227060653,0.9122861586314153,4079.0,2716875.0,0.8639191290824261,0.9061689994815967,5328.0,47936.0,10,7,3
F4RM-WiSARD-dense,DWN,Seeds,f4rm_strict_dominates,8,1,0.8571428571428571,0.9380952380952381,306.0,10320.0,0.9206349206349206,0.9206349206349206,5382.0,5382.0,8,8,0
F4RM-WiSARD-dense,DWN,Segment,mixed,20,3,0.5290043290043289,0.9662337662337663,1946.0,109331.0,0.9285714285714285,0.9747474747474748,5364.0,47904.0,11,8,3
F4RM-WiSARD-dense,DWN,Steel Plates,mixed,23,1,0.6544987146529563,0.9922879177377892,1111.0,1344534.0,1.0,1.0,5400.0,5400.0,7,6,1
F4RM-WiSARD-dense,DWN,Vehicle,mixed,14,3,0.4105882352941176,0.7494117647058823,1321.0,37521.0,0.688235294117647,0.7450980392156863,5400.0,96000.0,13,12,1
F4RM-WiSARD-dense,DWN,Waveform,mixed,18,2,0.338,0.8486,2399.0,4580928.0,0.8163333333333332,0.8286666666666666,5382.0,47936.0,14,12,2
F4RM-WiSARD-dense,DWN,Wine,f4rm_strict_dominates,4,2,0.9166666666666666,0.9888888888888889,648.0,2795.0,0.9537037037037037,0.9722222222222222,5382.0,95968.0,4,4,0
F4RM-WiSARD-dense,DWN,Yeast,mixed,15,3,0.31851851851851853,0.6107744107744107,1161.0,301268.0,0.494949494949495,0.5757575757575757,5400.0,48000.0,15,14,1
F4RM-WiSARD-dense,ULEEN,Balance Scale,mixed,12,6,0.2304,0.9024000000000001,237.0,21644.0,0.5439999999999999,0.88,72.0,2560.0,10,4,6
F4RM-WiSARD-dense,ULEEN,Banknote,mixed,17,5,0.5941818181818183,1.0,153.0,6736.0,0.9018181818181819,0.9866666666666667,48.0,2080.0,12,8,4
F4RM-WiSARD-dense,ULEEN,Breast Cancer,mixed,8,4,0.8649122807017544,0.9631578947368421,1157.0,88474.0,0.9093567251461989,0.9590643274853802,272.0,5328.0,7,3,4
F4RM-WiSARD-dense,ULEEN,EEG Eye State,mixed,37,4,0.5510680907877169,0.9427236315086782,560.0,3595480.0,0.5657543391188251,0.6637739207832666,144.0,1920.0,31,27,4
F4RM-WiSARD-dense,ULEEN,Ecoli,mixed,10,5,0.7588235294117647,0.8705882352941176,533.0,57413.0,0.5,0.9019607843137255,320.0,7040.0,12,8,4
F4RM-WiSARD-dense,ULEEN,Glass,mixed,11,3,0.5813953488372092,0.7534883720930232,835.0,33256.0,0.3488372093023256,0.6666666666666666,288.0,1536.0,14,11,3
F4RM-WiSARD-dense,ULEEN,Haberman,mixed,6,4,0.7419354838709677,0.7483870967741936,120.0,1607.0,0.6451612903225806,0.7365591397849464,48.0,480.0,7,6,1
F4RM-WiSARD-dense,ULEEN,Ionosphere,mixed,12,3,0.352112676056338,0.9492957746478872,1276.0,350384.0,0.7230046948356806,0.948356807511737,304.0,2688.0,4,1,3
F4RM-WiSARD-dense,ULEEN,Iris,mixed,7,4,0.8666666666666668,0.9666666666666668,118.0,7751.0,0.39999999999999997,0.9,72.0,2560.0,8,7,1
F4RM-WiSARD-dense,ULEEN,Letter Recognition,mixed,24,4,0.09419999999999999,0.95335,7939.0,4683767.0,0.521,0.8814166666666666,1872.0,24960.0,15,11,4
F4RM-WiSARD-dense,ULEEN,Magic Gamma,mixed,29,5,0.64863301787592,0.8691903259726603,400.0,2226099.0,0.7887311601822643,0.8386785839467228,96.0,1280.0,19,14,5
F4RM-WiSARD-dense,ULEEN,Pendigits,mixed,18,7,0.3292405638926785,0.9899045020463847,2765.0,1501999.0,0.8873730483553129,0.9878732757313932,720.0,21760.0,12,5,7
F4RM-WiSARD-dense,ULEEN,Pima Diabetes,baseline_strict_dominates,13,6,0.6493506493506493,0.7675324675324675,320.0,44577.0,0.6883116883116883,0.7683982683982684,80.0,3520.0,6,0,6
F4RM-WiSARD-dense,ULEEN,SatImage,mixed,28,4,0.3097978227060653,0.9122861586314153,4079.0,2716875.0,0.847071021254536,0.8994297563504405,960.0,13440.0,11,7,4
F4RM-WiSARD-dense,ULEEN,Seeds,mixed,8,5,0.8571428571428571,0.9380952380952381,306.0,10320.0,0.6428571428571429,0.9444444444444443,120.0,2304.0,9,4,5
F4RM-WiSARD-dense,ULEEN,Segment,mixed,20,8,0.5290043290043289,0.9662337662337663,1946.0,109331.0,0.8152958152958153,0.9502164502164502,616.0,14560.0,13,5,8
F4RM-WiSARD-dense,ULEEN,Steel Plates,baseline_strict_dominates,23,5,0.6544987146529563,0.9922879177377892,1111.0,1344534.0,0.7960582690659811,1.0,304.0,7392.0,5,0,5
