system,dataset,hp_id,test_acc,mem_bytes,train_s,infer_us_per_sample
F4RMS,Ecoli,"{""K"": 10, ""a"": 8, ""bleach"": 2, ""t"": 4}",0.85,11329.0,0.003369699977338314,27.426835560404204
F4RMS,Ecoli,"{""K"": 5, ""a"": 4, ""bleach"": 2, ""t"": 16}",0.8558823529411764,18634.0,0.007391383405774832,83.88664128313607
F4RMS,Ecoli,"{""K"": 5, ""a"": 8, ""bleach"": 2, ""t"": 16}",0.8588235294117649,18720.0,0.004347699997015298,47.02462944859529
F4RMS,Ecoli,"{""K"": 5, ""a"": 16, ""bleach"": 2, ""t"": 16}",0.8647058823529413,19780.0,0.0028565499698743222,27.887379367123636
F4RMS,Ecoli,"{""K"": 10, ""a"": 8, ""bleach"": 2, ""t"": 16}",0.8676470588235295,37396.0,0.008580316789448261,93.04632343735327
F4RMS,Ecoli,"{""K"": 5, ""a"": 8, ""bleach"": 1, ""t"": 64}",0.8705882352941176,72081.0,0.01582888336852193,186.93652065635166
F4RMS,Ecoli,"{""K"": 10, ""a"": 8, ""bleach"": 1, ""t"": 64}",0.8735294117647058,143643.0,0.031207875185646116,365.7791647128761
F4RMS,Ecoli,"{""K"": 25, ""a"": 8, ""bleach"": 1, ""t"": 64}",0.876470588235294,359190.0,0.07865514978766441,923.3240202507552
F4RMS,Ionosphere,"{""K"": 5, ""a"": 4, ""bleach"": 2, ""t"": 4}",0.7887323943661971,19092.0,0.0038956081960350277,35.73309833472463
F4RMS,Ionosphere,"{""K"": 5, ""a"": 32, ""bleach"": 1, ""t"": 4}",0.8816901408450704,31146.0,0.001820158353075385,13.539433466191863
F4RMS,Ionosphere,"{""K"": 5, ""a"": 8, ""bleach"": 1, ""t"": 4}",0.9267605633802816,35935.0,0.0027030666125938295,23.22546763896522
F4RMS,Ionosphere,"{""K"": 5, ""a"": 32, ""bleach"": 1, ""t"": 8}",0.9352112676056338,54598.0,0.0027693919837474823,23.808332265052996
F4RMS,Ionosphere,"{""K"": 5, ""a"": 8, ""bleach"": 1, ""t"": 8}",0.9436619718309858,63630.0,0.0048377750208601356,45.269129889636815
F4RMS,Ionosphere,"{""K"": 5, ""a"": 8, ""bleach"": 1, ""t"": 16}",0.9464788732394366,116110.0,0.009167508198879659,88.60246514455534
F4RMS,Ionosphere,"{""K"": 10, ""a"": 8, ""bleach"": 1, ""t"": 8}",0.9492957746478872,126973.0,0.009676708397455514,90.18943651618672
F4RMS,Ionosphere,"{""K"": 25, ""a"": 8, ""bleach"": 1, ""t"": 8}",0.952112676056338,317202.0,0.024378049978986384,224.95927020225304
F4RMS,Balance Scale,"{""K"": 5, ""a"": 4, ""bleach"": 2, ""t"": 4}",0.7183999999999999,2914.0,0.0012365079717710614,3.797999955713749
F4RMS,Balance Scale,"{""K"": 5, ""a"": 8, ""bleach"": 2, ""t"": 4}",0.7968,4443.0,0.0010303666349500418,2.393867075443268
F4RMS,Balance Scale,"{""K"": 5, ""a"": 4, ""bleach"": 2, ""t"": 8}",0.8512000000000001,5929.0,0.0018273501889780163,7.257332839071751
F4RMS,Balance Scale,"{""K"": 5, ""a"": 8, ""bleach"": 2, ""t"": 8}",0.8656,8856.0,0.0013887831941246987,4.464600048959255
F4RMS,Balance Scale,"{""K"": 5, ""a"": 4, ""bleach"": 2, ""t"": 16}",0.8768,10514.0,0.002851333422586322,14.570800215005875
F4RMS,Balance Scale,"{""K"": 5, ""a"": 8, ""bleach"": 2, ""t"": 16}",0.8800000000000001,14471.0,0.0021012498065829275,8.835932984948158
F4RMS,Balance Scale,"{""K"": 5, ""a"": 4, ""bleach"": 2, ""t"": 32}",0.8880000000000001,20765.0,0.005135149811394513,28.12446542084217
F4RMS,Balance Scale,"{""K"": 5, ""a"": 8, ""bleach"": 2, ""t"": 32}",0.8960000000000001,28008.0,0.003466791589744389,17.16713272035122
F4RMS,Balance Scale,"{""K"": 5, ""a"": 8, ""bleach"": 2, ""t"": 64}",0.9008,54886.0,0.006361916405148804,33.91220010817051
F4RMS,Balance Scale,"{""K"": 25, ""a"": 4, ""bleach"": 2, ""t"": 32}",0.9056000000000001,103614.0,0.025681241787970065,138.86099979281425
F4RMS,Balance Scale,"{""K"": 50, ""a"": 4, ""bleach"": 2, ""t"": 64}",0.9072000000000001,412513.0,0.09751334977336228,559.3251310288906
F4RMS,Pima Diabetes,"{""K"": 5, ""a"": 4, ""bleach"": 2, ""t"": 4}",0.6935064935064934,5830.0,0.0021468084072694183,4.968289799939889
F4RMS,Pima Diabetes,"{""K"": 5, ""a"": 4, ""bleach"": 2, ""t"": 8}",0.7038961038961039,11331.0,0.0033900750102475287,9.66867029836232
F4RMS,Pima Diabetes,"{""K"": 10, ""a"": 4, ""bleach"": 2, ""t"": 4}",0.7103896103896103,11692.0,0.004159475397318602,9.55990119534847
F4RMS,Pima Diabetes,"{""K"": 5, ""a"": 8, ""bleach"": 2, ""t"": 4}",0.7389610389610389,17700.0,0.0017216914100572466,3.3332792401023497
F4RMS,Pima Diabetes,"{""K"": 5, ""a"": 8, ""bleach"": 2, ""t"": 8}",0.7493506493506493,32165.0,0.002570249605923891,6.524945591128879
F4RMS,Pima Diabetes,"{""K"": 5, ""a"": 8, ""bleach"": 2, ""t"": 16}",0.7493506493506494,59542.0,0.004143800004385412,12.251405293339646
F4RMS,Pima Diabetes,"{""K"": 10, ""a"": 8, ""bleach"": 2, ""t"": 8}",0.7610389610389611,64346.0,0.005098608625121415,12.88300891128647
F4RMS,Pima Diabetes,"{""K"": 5, ""a"": 8, ""bleach"": 2, ""t"": 32}",0.7623376623376623,114121.0,0.007753625186160207,24.978787027444547
F4RMS,Pima Diabetes,"{""K"": 25, ""a"": 8, ""bleach"": 2, ""t"": 8}",0.7636363636363637,160518.0,0.01270371680147946,31.10514182669969
F4RMS,Pima Diabetes,"{""K"": 50, ""a"": 8, ""bleach"": 2, ""t"": 8}",0.764935064935065,320999.0,0.025283599994145332,63.24761961405346
F4RMS,Vehicle,"{""K"": 5, ""a"": 4, ""bleach"": 2, ""t"": 4}",0.6705882352941177,16538.0,0.004406933393329382,16.26308829359272
F4RMS,Vehicle,"{""K"": 5, ""a"": 8, ""bleach"": 2, ""t"": 4}",0.7023529411764705,27878.0,0.00320555018261075,10.241568362449899
F4RMS,Vehicle,"{""K"": 5, ""a"": 4, ""bleach"": 2, ""t"": 8}",0.7105882352941177,31811.0,0.007973533403128386,32.456325750578856
F4RMS,Vehicle,"{""K"": 5, ""a"": 8, ""bleach"": 1, ""t"": 8}",0.7258823529411765,51778.0,0.005304324813187123,19.967941265991506
F4RMS,Vehicle,"{""K"": 5, ""a"": 16, ""bleach"": 2, ""t"": 8}",0.7270588235294119,76235.0,0.003678050357848406,12.682844638167058
F4RMS,Vehicle,"{""K"": 10, ""a"": 8, ""bleach"": 1, ""t"": 8}",0.7305882352941178,103481.0,0.010770858195610345,40.075394105823605
F4RMS,Vehicle,"{""K"": 10, ""a"": 16, ""bleach"": 1, ""t"": 8}",0.731764705882353,152470.0,0.007352483412250877,25.610390584915876
F4RMS,Vehicle,"{""K"": 10, ""a"": 8, ""bleach"": 1, ""t"": 16}",0.7352941176470589,195330.0,0.019296024809591472,78.56299169361591
F4RMS,Vehicle,"{""K"": 5, ""a"": 4, ""bleach"": 1, ""t"": 64}",0.7517647058823529,235906.0,0.05630468337330967,256.44225301221013
