method,dataset,a,t,bleach,acc_mean,mem_mean,train_mean,infer_mean,n_seeds
Random,Iris,8,4,1,0.8944444444444443,281.3333333333333,0.0001434736574689547,1.7063397293289502,30
F4RM,Iris,8,4,2,0.9022222222222224,290.6666666666667,0.00015072086049864689,1.71277801402741,30
Random,Iris,8,4,2,0.8966666666666667,281.3333333333333,0.0001488028559833765,1.7678252576539915,30
F4RM,Iris,8,4,3,0.8855555555555554,290.6666666666667,0.0001485404015208284,1.7680498098747597,30
Random,Iris,8,4,3,0.9,281.3333333333333,0.00014535696245729924,1.692311165647374,30
F4RM,Iris,8,4,4,0.8566666666666667,290.6666666666667,0.0001504762563854456,1.7361556335041926,30
Random,Iris,8,4,4,0.8855555555555555,281.3333333333333,0.0001497860299423337,1.748609485932522,30
F4RM,Iris,12,4,1,0.8966666666666667,421.0,0.0001633555085087816,1.928705152952009,30
Random,Iris,12,4,1,0.8988888888888888,411.6666666666667,0.00015928891176978746,1.9579204834169812,30
F4RM,Iris,12,4,2,0.8633333333333332,421.0,0.00016399994880581895,1.9309229941831694,30
Random,Iris,12,4,2,0.8733333333333332,411.6666666666667,0.00016026659480606516,1.9388466090377832,30
F4RM,Iris,12,4,3,0.8077777777777778,421.0,0.00016272916691377758,1.9670823692447612,30
Random,Iris,12,4,3,0.8188888888888888,411.6666666666667,0.00015814588017140825,1.9428726389176318,30
F4RM,Iris,12,4,4,0.7400000000000001,421.0,0.00016252639470621945,1.957081905048755,30
Random,Iris,12,4,4,0.7533333333333334,411.6666666666667,0.0001580500858835876,1.9437485995392005,30
F4RM,Iris,16,4,1,0.7666666666666667,339.5,0.00013261534040793778,1.2520363088697195,30
Random,Iris,16,4,1,0.7666666666666667,339.5,0.0001265721395611763,1.2479638422114983,30
F4RM,Iris,16,4,2,0.6033333333333334,339.5,0.00013150553762291867,1.2389358340038192,30
Random,Iris,16,4,2,0.6033333333333334,339.5,0.0001266292102324466,1.2172223068773744,30
F4RM,Iris,16,4,3,0.4600000000000001,339.5,0.0001325709007990857,1.2178221044854987,30
Random,Iris,16,4,3,0.4600000000000001,339.5,0.00012876816326752306,1.2372690252959728,30
F4RM,Iris,16,4,4,0.38777777777777783,339.5,0.0001315638345355789,1.2276855866528222,30
Random,Iris,16,4,4,0.38777777777777783,339.5,0.00012829013479252657,1.224353133390347,30
F4RM,Iris,2,8,1,0.9177777777777777,560.8333333333334,0.000407661028051128,8.820086950436234,30
Random,Iris,2,8,1,0.921111111111111,556.3333333333334,0.00040027502303322156,8.638240396976471,30
F4RM,Iris,2,8,2,0.9222222222222222,560.8333333333334,0.0003979751296962301,8.610602106071182,30
Random,Iris,2,8,2,0.9199999999999999,556.3333333333334,0.00039794589780891936,8.742041730632385,30
F4RM,Iris,2,8,3,0.9311111111111111,560.8333333333334,0.00040269720290477077,8.794069936912921,30
Random,Iris,2,8,3,0.9355555555555555,556.3333333333334,0.0003980194800533354,8.723516301769347,30
F4RM,Iris,2,8,4,0.9199999999999999,560.8333333333334,0.0004021485607760648,8.71699432738953,30
Random,Iris,2,8,4,0.9299999999999999,556.3333333333334,0.0004022430783758561,8.816571725118495,30
F4RM,Iris,4,8,1,0.9222222222222222,511.6666666666667,0.00027207894017919896,5.049396746067537,30
Random,Iris,4,8,1,0.9277777777777776,487.8333333333333,0.00026293886670221883,4.9844442401081315,30
F4RM,Iris,4,8,2,0.9311111111111111,511.6666666666667,0.0002723013749346137,5.058842038528787,30
Random,Iris,4,8,2,0.9333333333333333,487.8333333333333,0.0002740665610569219,5.174444393358297,30
F4RM,Iris,4,8,3,0.9333333333333332,511.6666666666667,0.0002733514877036214,5.08564550222622,30
Random,Iris,4,8,3,0.9288888888888888,487.8333333333333,0.00026943043728048605,5.048931731532017,30
F4RM,Iris,4,8,4,0.9288888888888887,511.6666666666667,0.00026572922555108863,4.929076466295454,30
Random,Iris,4,8,4,0.9266666666666665,487.8333333333333,0.00026905827301864824,5.132916849106549,30
F4RM,Iris,8,8,1,0.931111111111111,528.5,0.00020327230061714847,3.1692578664256463,30
Random,Iris,8,8,1,0.9422222222222222,517.0,0.00019794992792109649,3.157592016375727,30
F4RM,Iris,8,8,2,0.9299999999999998,528.5,0.0002016514423303306,3.1489860783848505,30
Random,Iris,8,8,2,0.9299999999999998,517.0,0.00019730412944530447,3.1206881006558738,30
F4RM,Iris,8,8,3,0.9377777777777776,528.5,0.00020228753952930372,3.2094933299554715,30
Random,Iris,8,8,3,0.9244444444444443,517.0,0.00019434307081003983,3.2572176617880664,30
F4RM,Iris,8,8,4,0.9266666666666665,528.5,0.00019838750983277957,3.2026399599595203,30
Random,Iris,8,8,4,0.9133333333333333,517.0,0.00019846525974571706,3.1579165564229092,30
F4RM,Iris,12,8,1,0.9233333333333333,621.8333333333334,0.00019230830172697704,2.7296758101632195,30
