dataset,system_a,system_b,iso_acc_levels_compared,iso_acc_wins_a,iso_acc_wins_b,iso_mem_levels_compared,iso_mem_wins_a,iso_mem_wins_b,feasible_acc_overlap_lo,feasible_acc_overlap_hi,feasible_mem_overlap_lo,feasible_mem_overlap_hi
Balance Scale,F4RMS,DT,101,0,101,50,0,50,0.7183999999999999,0.7792,2914.0,3791.4
Balance Scale,F4RMS,RF,101,101,0,50,50,0,0.8272,0.8656,58700.6,303832.4
Balance Scale,F4RMS,CatBoost,0,0,0,0,0,0,0.9173333333333334,0.9072000000000001,64560.0,64560.0
Balance Scale,F4RMS,XGBoost,101,101,0,0,0,0,0.8848,0.9040000000000001,490686.6,412513.0
Balance Scale,F4RMS,LightGBM,101,101,0,49,49,0,0.9008,0.9040000000000001,304656.2,306372.2
Balance Scale,F4RMS,MLP,101,31,70,50,39,11,0.7712,0.9072000000000001,2914.0,412513.0
Balance Scale,F4RMS,FT-Transformer,101,99,2,50,49,1,0.8506666666666667,0.9066666666666667,69548.0,270684.0
Balance Scale,F4RMS,TabPFN,0,0,0,0,0,0,0.7183999999999999,0.9072000000000001,2914.0,0.0
Banknote,F4RM-WiSARD-dense,Random-WiSARD-dense,101,21,46,50,24,5,0.5941818181818183,1.0,153.0,6736.0
Banknote,F4RM-WiSARD-dense,Random-WiSARD-cuckoo,101,0,101,50,0,50,0.5941818181818183,1.0,153.0,2720.0
Banknote,F4RM-WiSARD-dense,DT,101,101,0,50,50,0,0.8378181818181817,0.9854545454545456,1398.0,4415.0
Banknote,F4RM-WiSARD-dense,RF,101,101,0,0,0,0,0.9883636363636363,0.997090909090909,33119.0,6736.0
Banknote,F4RM-WiSARD-dense,CatBoost,101,101,0,0,0,0,0.9963636363636365,0.9975757575757576,40288.0,6736.0
Banknote,F4RM-WiSARD-dense,XGBoost,101,101,0,0,0,0,0.9978181818181817,0.9978181818181818,77586.6,6736.0
