f4rm_system,baseline_system,mem_band,n_datasets_both_have_rows,n_f4rm_wins,n_baseline_wins,n_ties
F4RM-WiSARD-dense,MLP,100KB-1MB,14,8,6,0
F4RM-WiSARD-dense,MLP,>1MB,0,0,0,0
F4RM-WiSARD-dense,FT-Transformer,<1KB,0,0,0,0
F4RM-WiSARD-dense,FT-Transformer,1-10KB,0,0,0,0
F4RM-WiSARD-dense,FT-Transformer,10-100KB,21,18,3,0
F4RM-WiSARD-dense,FT-Transformer,100KB-1MB,14,11,2,1
F4RM-WiSARD-dense,FT-Transformer,>1MB,0,0,0,0
F4RM-WiSARD-dense,BTHOWeN,<1KB,11,0,11,0
F4RM-WiSARD-dense,BTHOWeN,1-10KB,21,11,10,0
F4RM-WiSARD-dense,BTHOWeN,10-100KB,14,12,2,0
F4RM-WiSARD-dense,BTHOWeN,100KB-1MB,1,1,0,0
F4RM-WiSARD-dense,BTHOWeN,>1MB,0,0,0,0
F4RM-WiSARD-dense,DWN,<1KB,0,0,0,0
F4RM-WiSARD-dense,DWN,1-10KB,21,12,9,0
F4RM-WiSARD-dense,DWN,10-100KB,21,13,8,0
F4RM-WiSARD-dense,DWN,100KB-1MB,0,0,0,0
F4RM-WiSARD-dense,DWN,>1MB,0,0,0,0
F4RM-WiSARD-dense,ULEEN,<1KB,11,5,6,0
F4RM-WiSARD-dense,ULEEN,1-10KB,21,6,15,0
F4RM-WiSARD-dense,ULEEN,10-100KB,10,5,5,0
F4RM-WiSARD-dense,ULEEN,100KB-1MB,0,0,0,0
F4RM-WiSARD-dense,ULEEN,>1MB,0,0,0,0
F4RMS,DT,<1KB,0,0,0,0
F4RMS,DT,1-10KB,9,5,4,0
F4RMS,DT,10-100KB,8,7,1,0
F4RMS,DT,100KB-1MB,3,2,1,0
F4RMS,DT,>1MB,1,1,0,0
F4RMS,RF,<1KB,0,0,0,0
F4RMS,RF,1-10KB,0,0,0,0
F4RMS,RF,10-100KB,14,9,4,1
F4RMS,RF,100KB-1MB,19,8,11,0
F4RMS,RF,>1MB,14,5,9,0
F4RMS,XGBoost,<1KB,0,0,0,0
F4RMS,XGBoost,1-10KB,0,0,0,0
F4RMS,XGBoost,10-100KB,4,1,2,1
F4RMS,XGBoost,100KB-1MB,16,6,10,0
F4RMS,XGBoost,>1MB,17,4,13,0
F4RMS,LightGBM,<1KB,0,0,0,0
F4RMS,LightGBM,1-10KB,0,0,0,0
F4RMS,LightGBM,10-100KB,4,1,3,0
F4RMS,LightGBM,100KB-1MB,17,6,11,0
F4RMS,LightGBM,>1MB,17,4,12,1
F4RMS,CatBoost,<1KB,0,0,0,0
F4RMS,CatBoost,1-10KB,0,0,0,0
F4RMS,CatBoost,10-100KB,11,2,9,0
F4RMS,CatBoost,100KB-1MB,19,4,14,1
F4RMS,CatBoost,>1MB,17,3,13,1
F4RMS,MLP,<1KB,0,0,0,0
F4RMS,MLP,1-10KB,9,7,1,1
F4RMS,MLP,10-100KB,15,13,2,0
F4RMS,MLP,100KB-1MB,19,12,6,1
F4RMS,MLP,>1MB,0,0,0,0
F4RMS,FT-Transformer,<1KB,0,0,0,0
F4RMS,FT-Transformer,1-10KB,0,0,0,0
F4RMS,FT-Transformer,10-100KB,15,14,1,0
F4RMS,FT-Transformer,100KB-1MB,19,15,3,1
F4RMS,FT-Transformer,>1MB,0,0,0,0
F4RMS,BTHOWeN,<1KB,0,0,0,0
F4RMS,BTHOWeN,1-10KB,9,6,2,1
F4RMS,BTHOWeN,10-100KB,9,9,0,0
F4RMS,BTHOWeN,100KB-1MB,0,0,0,0
F4RMS,BTHOWeN,>1MB,0,0,0,0
F4RMS,DWN,<1KB,0,0,0,0
F4RMS,DWN,1-10KB,9,8,1,0
F4RMS,DWN,10-100KB,15,11,4,0
F4RMS,DWN,100KB-1MB,0,0,0,0
F4RMS,DWN,>1MB,0,0,0,0
F4RMS,ULEEN,<1KB,0,0,0,0
F4RMS,ULEEN,1-10KB,9,5,4,0
F4RMS,ULEEN,10-100KB,6,3,3,0
F4RMS,ULEEN,100KB-1MB,0,0,0,0
F4RMS,ULEEN,>1MB,0,0,0,0
Random-WiSARD-cuckoo,DT,<1KB,0,0,0,0
Random-WiSARD-cuckoo,DT,1-10KB,20,11,7,2
